id,review_id,visible,response,"I'm sorry, there is no comment provided for me to determine if it is helpful, negative, or vulgar. Please provide the comment for me to analyze."
2613,1093,1,Bring good walking shoes as there is much to see and explore in the local hill towns and through hikes around the hotel.,helpful
2622,1097,1,don't expect much from the service (i.e. manage your expectations) and you'll be able to appreciate the top location.,helpful
2629,1100,1,Pool is huge but is largely in the shade,helpful
2632,1101,1,Hgh level corner rooms are best,helpful
2639,1104,1,"Tonga Room's 'happy hour' was a fun experience.
Easy walking distance to Chinatown and North Beach",helpful
2656,1112,1,"A recomendar sin ninguna duda por su tranquilidad y ubicación. Merece su reputación.
Inmejorable calidad-precio.",Helpful.
2659,1113,1,Enjoy.,helpful
2662,1114,1,"Os quarto menores são apropriados para apenas uma pessoa. Se estiver em casal, opte pelo quarto maior.",Helpful.
2667,1116,1,"It's very easy to walk to both the west and east village, good central location.",helpful
2674,1119,1,"Only one restaurant now (the other was closed earlier in the year) but really worth going to.

SMA is a small, hilly town where the main attraction/activity is walking but having a hotel with a pool only three blocks from the main square provided a perfect chance to explore and relax -- exactly what we went to SMA to do.",Helpful.
2677,1120,1,"Hotel is a destination at night and very loud. The rooms have double doors to help dampen noise but if you're looking for quiet at night, this is not the place to stay.",helpful
2684,1123,1,Use the bathrobes they leave in the room... it's like a giant full body sweatshirt!,helpful
2689,1125,1,play some records in the vinyl room!  ,helpful
2692,1126,1,Do not stay there if you want to sleep - the street noise and sirens from King Cross made it very difficult to sleep,helpful
2697,1128,1,"It is east of the Republique, in the 11th, not an issue, as the metro was well within walking distance",Helpful.
2702,1130,1,Must go and dress up nicely most people are all dressed nice and enjoying the moment and the atmosphere ,helpful
2709,1133,1,the location however beautiful is very far from the zurich center,helpful
2720,1138,1,"Try the restaurant, it was fantastic.",helpful
2723,1139,1,"A great little boutique hotel.
Close to the city and transport.
You will not be disappointed.",helpful
2740,1147,1,"In a great neighborhood, a couple of blocks from the British Museum. The Fitzroy Tavern, where Dylan Thomas did some of his serious drinking, is across the street.",helpful
2747,1150,1,ask for a higher floor room.,helpful
2754,1153,1,Dress hip for check-in,helpful
2759,1155,1,Enjoy the spacious rooms and great service - we have never seen a Manhattan hotel with such large rooms and closet space - quite a pleasant surprise!,helpful
2764,1157,1,"avoid this place at all costs. the staff is rude. the rooms are so tiny. it's faster to climb eight flights of stairs than waiting for the ancient, cramped elevators. tablet should remove this hotel.",Negative.
2769,1159,1,"This has to be the worst hotel i've been in term of service. They decided to cancel my reservation at 6pm on the day of my arrival even if I had put an arrival time of 10pm. Reason, we could not reach you and your credit card was declined. I did not get a voice mail from them (as I was in a plane at that time) and had no issues with my credit card. So at 9pm when i arrived I got told the hotel was full and they had no room for me.",Negative.
2776,1162,1,"Lotteria grill at farmers market, 3rd street shopping , the jar great restaurant, canters deli, ",Helpful.
2779,1163,1,Book the China Club for dinner ,helpful
2788,1167,1,good alternative to Chateau ,helpful
2803,1174,1,Eat at Lateral (near hotel on Plaza Santa Ana) - was delicious.,helpful
2808,1176,1,"Stay and enjoy the hotel and this fabulous city.
Rent a bike - around the corner - best way to see the sights.",helpful
2811,1177,1,"It's located right next to the Dubai Mall which makes it convenient for an easy shopping spree! Also, if you choose the Fountain View room you'll get to see a beautiful water fountain display every night on the half hour. ",helpful
2814,1178,1,"Bien que pas aménagée au moment de notre séjour, il faut faire un détour par le roof top, vue incroyable sur NYC",helpful
2817,1179,1,Excellent accueil et service,Helpful.
2826,1183,1,The hotel is more central than it appears and both U and S bahn very near by as is harbour with lots of things to do and of course the red light area - which is quite a tourist attraction these days! Great location and stylish hotel with great bars on ground and top floors. Enjoy. ,helpful
2831,1185,0,Sneak up to the roof deck for sunset.,helpful
2844,1191,1,"The location is not the greatest. And rush-hour traffic means that you should plan on an hour of driving no matter where you go. 
Although the hotel design is modern and the spaces clean, the craftsmanship in the building is just a little off. Couple of wobbly stair steps, wardrobe doors that are just slightly off from closing smoothly, etc. It's really just the small details which keep it from being really magnificent. But that being said, by Jakarta standards it is a really beautiful place.",Helpful.
2849,1193,1,If you want the view of the river book the most expensive categories. the rooms on the side do not have a great view - you will face the windows of another hotel,helpful
2854,1195,1,"This hotel should be classified as a Tablet ""budget Hotel."" If the rate was any higher, there are much better values and superior hotels with great service in the area.",helpful
2857,1196,1,"There is a nightclub on the first floor that is loud on the weekends. We stayed on the fourth floor and it didn't bother us, but I could still slightly feel the thumping of the music. Other people have written reviews about the noise being unbearable. So I'd recommend getting a room on the third or fourth floor. I can't imagine getting any sleep on the second floor since it's directly above the club.",Helpful.
2860,1197,1,We had a car and parking was impossible. The hotel does not offer to park your car for you for a fee like other hotels do.,helpful
2873,1203,1,it's worth it to pay extra for higher floors or request an upgrade. lower floors have substantial street noise. higher floors have beautiful city views. ,Helpful.
2876,1204,1,Very good service. Small rooms. Lovely breakfast.,helpful
2879,1205,1,インターネットの有線、無線が不安定で持って行ったPCとスマートフォンが使い物になりませんでしたのでホテル備え付けのmacを使いました（スペイン語だったので日本語が使えるように設定しました）。,helpful
2884,1207,1,Higher floor may be better as the noise from street in the morning is less intrusive.,helpful
2899,1214,1,"If you are looking to use all the facilities of the hotel, ask before you book your room if the hotel will be hosting any ""private events"" - if so, you may be in for a surprise.",helpful
2902,1215,1,"Explore the lighting in your room, especially the underlighting... you can really adjust the mood!",helpful
2907,1217,0,Definitely take advantage of the breakfast and rooftop deck!,helpful
2912,1219,1,"It's a fairly tricky part of the medina to reach, so I'd recommend asking the hotel for directions that you can provide to taxi drivers.",helpful
2915,1220,1,"You will have a difficult time wanting to split your time between staying IN your hotel and exploring all that Montreal has to offer.  Either way, you won't lose.  ",helpful
2918,1221,1,"The night scene at the Sanderson is something special, and is definitely a London hotspot.   Although, when having to get up at 5am, and really looking forward to some sleep - proved to be too much to ask for the people that were partying next-door.  Although this is an amazing hotel and its in an even better location - I may be headed somewhere a little quieter next time.",Helpful.
2921,1222,1,"definitely check out this place ... And if you can make it work, ask for the interior balcony rooms.",helpful
2930,1226,1,"enjoy, the people at the front desk are second to non.",helpful
2945,1233,1,"Check the hotel's website for directions which include a map and photographs of each turn you need to take.  Without this, it will be difficult to find.",helpful
2952,1236,1,"If you're going in the high season with a car, be sure to ask if there will be street parking.  We were fine with parking right near the hotel as it wasn't a busy time of year.",Helpful.
2965,1242,1,Dont travel with kids.,Negative.
2968,1243,1,Profiter de Spitalfields Market et Brick Lane Road ,Helpful.
2973,1245,1,Breakfast selection is poor.  Do not even bother with food.,Negative.
2984,1250,1,Plenty of restaurants and simple eateries around the station,helpful
2991,1253,1,"Excellent, stylish hotel in Clerkenwell; close to all the arty hipster boutiques and clubs in Clerkenwell and Shoreditch.",helpful
2996,1255,1,Si deseas un hotel centrico en un barrio seguro y con todos los servicios a un precio asequible este es tu hotel.,Helpful.
3007,1260,1,Stay somewhere else,Negative.
3010,1261,1,Always book via Tablet as you get a great room each time. Enjoy the lobby refreshment area.,helpful
3013,1262,1,Make sure to have breakfast on back patio if weather is nice.,helpful
3018,1264,1,Great location and definitely a celeb spotting hotel! ,helpful
3021,1265,1,Enjoy the air conditioning! the garden. Enjoy the Aventine churches and the St. Peter's view.,Helpful.
3024,1266,0,Go for one of the rooms on the top floor that faces toward the pool or the inner courtyard. ,helpful
3031,1269,0,"If you want to spend time away from all that is happening in Barcelona, dont stay here. If business is your means for stay and you dont need to travel across town this is the hotel for you.",Helpful.
3044,1275,1,"The included valet parking is not a must, as the lot across the street charges the same price (without ""in and out"" priviledges). There are also many diners near by for breakfast or emergency late night food.",helpful
3047,1276,1,Check that room has a shower if required.,helpful
3050,1277,1,"The lobby can be frenetic at peak check-in and check-out times on the weekends, so be prepared. ",helpful
3053,1278,1,"Never stay on the 3rd floor, so loud. Next to storage cabinets that staff is in and our of for cleaning materials and supplies starting in the early am. And the pool music is loud until into the evening. You have to pay for wifi by the day. ",Helpful.
3058,1280,1,Mention you are part of tablet as they don't recognize this on your reservation.,helpful
3063,1282,1,I paid extra for corner room.  I did not stay in the regular room. corner rooms beautiful.,Helpful.
3066,1283,1,"Despite being so central in Beyoglu, the hotel is a little bit off the beaten track so I found taxi drivers did not know the way, However if you tell them Italian Conulste (right opposite) they can easily find it by asking. ",helpful
3069,1284,1,"Cenar en Solar dos Presuntos, a la vuelta de la esquina.",Helpful.
3074,1286,1,Take advantage of the spa and the very helpful staff.,helpful
3077,1287,1,The area is not as bad as people are saying,helpful
3080,1288,1,Enjoy the beautiful surroundings.  Don't be afraid to walk.  It's a beautiful stroll to the river.,helpful
3083,1289,1,"If you're spooked by a few harmless homeless people, by all means stay out at Fisherman's Wharf instead, the Jersey Shore of SF. Good Hotel is near lots of great restaurants and bars, all of the major bus lines in the city, and one block from BART.",Helpful.
3094,1294,1,"perfect place to be you and feel free, no presure, ",helpful
3097,1295,0,"Go, if you want a colorfull pool side.",Negative.
3100,1296,1,"ne pas venir en famille avec les enfants 
",helpful
3103,1297,1,"MIDDLE OF NO-WHERE, LOUSY STAFF, DON'T EVER STAY THERE",Negative.
3112,1301,0,Prévoir spray anti moustiques pour le soir,helpful
3117,1303,1,"The rooms are extremely tiny with no more than two feet from the bed to the wall on all three sides, although the bathroom was quite nice.  ",helpful
3124,1306,1,try the calamari & calamari at the Fussion restaurant,helpful
3129,1308,1,"room was small but as the ceiling was high, it didnt feel clausterphobic.  toilets were very small ",helpful
3136,1311,1,pay a bit more for a larger room,helpful
3143,1314,1,Hit the roofdeck bar!,helpful
3152,1318,0,Book a reservation here...unconditionally.,helpful
3159,1321,1,"If you need a place to crash for the night, great otherwise spend your money somewhere else. surprised this hotel is featured on tablet",helpful
3178,1330,1,"The hotel isn't in the center of the city, but about a 10-15 minute walk from the central train station.  If you don't mind walking and want to explore outside of the city center, this is a good spot!",helpful
3187,1334,1,Emma as a concierge is the absolute best!,helpful
3198,1339,1,Be prepared for many steps to the beach,helpful
3205,1342,1,"the rooms are to small and you must enter a bar which at times is very loud to an elevator to the second floor to the lobby of the hotel.  the overall attitude of the employees were stuffy.  made a restaurant recommendation and stated it was intimate.. you were sitting next to the next table and you could reach over and touch them ,,not to intimate... definitely would not return to this hotel......",Negative.
3208,1343,0,Take advantage of the great breakfast. ,helpful
3213,1345,1,Enjoy the bar area. Our trip was too short to tke full advantage of a truly charming area. ,helpful
3220,1348,1,"very nice but dont expect all you would for the price you pay .... no restaurant, no spa, its more like a bed and breakfast, but very good service because the owners are always there.... if you dont what to leave the hotel go to the supermarket two blocks down and buy somethings.",helpful
3223,1349,1,"I wanted to stay at an upper level room, first they gave us a room on the third floor then the fourth floor, but both rooms were very noisy because of the plant next to the hotel. Then they gave us a room on the 8th floor which was great. 
Request a room on the upper floor.",Helpful.
3230,1352,1,"Great deli around the corner - Cafe 28 (well worth checking out for a ""lite bite"") - and don't forget to enjoy the Stumptown Coffee bar off the lobby.

Also, there was a copy of 'Front Desk' in the hotel room which gave excellent, and accurate, reviews of dining, nightlife, shopping and culture on a istrict by distrcit basis.  ",helpful
3237,1355,1,"A little ""touristy"" but perfect if you want to be on the beach in Seminyak",helpful
3242,1357,1,If you get a ticket to go to the Eiffel Tower make sure you book the ticket to go all the way to the top.,Helpful.
3247,1359,1,Don't go for anything else than a room with a view to the plaza. Make sure you visit the upper bar/terrace if you don't go for a suite.,helpful
3250,1360,1,Ask for a view of the pool.,helpful
3255,1362,1,"Two things....rooms can be a little small, and the area just a bit noisy - you can live with it, but if you're after complete quiet...well..",helpful
3258,1363,0,The rooms are a bit small when compared to the standard size rooms in the US.  But I would say that it is typical European style.,helpful
3261,1364,1,Spend on an ocean view room room with a balcony - nice to sit out on at night,helpful
3264,1365,1,"Stay and enjoy. Even in beautiful Cartagena we didn't want to leave the hotel but just enjoy our time in the pool, restaurant and room ",helpful
3267,1366,1,Profiter de chaque instant! Petit hotel evec une atmosphère unique. Un cocon de tranquilité,Helpful.
3284,1374,0,Adjacent to Traflager square and the national gallery.  Short walk to piccadilly circus.,Helpful.
3289,1376,1,Note they add on 10% service charge per room rate per night which wasn't made clear at the time of booking.,helpful
3292,1377,1,Go for the breakfast plan.,helpful
3295,1378,1,"Rooms are quite small, but it's not as though you don't have better places to be in Paris.",helpful
3302,1381,1,"Search out the pool mid afternoon - quiet, kid-free and very relaxing. ",helpful
3307,1383,1,"Definitely wake up to the breakfast buffet every day.  It's not complimentary, but it's well worth the price.  There is everything you could wish for to eat for breakfast but my favorite was the warm chocolate croissants.  The super friendly staff are a pleasure, and whether you want a quiet breakfast or to chat with other guests, this is a great feature of this hotel.
",helpful
3310,1384,0,The hotel restaurant Moo is okay but not great.  Go to the bar/restaurant next door for meals and you won't be disappointed.,helpful
3315,1386,1,semi-double really only big enough for one-night sleep-over.  couldn't open both suitcases at once,helpful
3318,1387,1,it's a little further from the center of the marais than i thought...,helpful
3323,1389,1,have the burnt lemon and vanilla margarita. it's amazing,helpful
3326,1390,1,Hôtel très très calme et bien situé. A recommander. ,Helpful.
3329,1391,1,"Surtout ne pas rater la ""cérémonie du thé"" dans le salon du premier étage de 16 à 18 heures. 
Un moment magique. 
Et le buffet est fantastique. ",helpful
3338,1395,1,"Rooms are a little small, but if you are familiar with NYC hotels you will not be unpleasantly surprised.",helpful
3343,1397,1,make sure you ask for your perks upon check in otherwise you may not receive,helpful
3356,1403,0,"matchbox, best restaurant in town",helpful
3363,1406,0,just know this is not a full service hotel but a tiny hotel with a few rooms that is not staffed 24-hours a day.,helpful
3372,1410,1,"Rent a car and stay for at least 4 days.  The hotel provides a great base to explore the region, which has amazing scenery, food, and wine.",helpful
3377,1412,1,Do visit the rooftop bar for a nice hour or two at the end of a night. Amazingly gorgeous.,helpful
3380,1413,1,"Don't be fooled by the curbside view, as it is on a residential street, tucked away. It is a true gem.",helpful
3389,1417,1,"Excellent restaurant opposite, €10 extra per room for great breakfast.",helpful
3394,1419,1,just go stay here people - forget the big chains - and walk about the french quarters - OMG - ,helpful
3401,1422,1,"The breakfast is a must as it is tasty, quick, and oh so convenient.",helpful
3404,1423,1,"If you are planning to stay in your room, you'll be fine. Otherwise, choose a different hotel.",helpful
3407,1424,1,Don't book a tour through this hotel.,helpful
3410,1425,1,"Wonderful place to stay.  Close walking distance to South Congress, the bats, great restaurants, and cool bars.  Check out Hotel San Jose for drinks as well.",helpful
3413,1426,1,Madame Jasmine bar across the road is great,helpful
3430,1434,1,Eat at the wonderful hotel restaurant (which has a Michelin star),helpful
3433,1435,1,Book it!,helpful
3436,1436,0,Don't turn the wrong way and bring earplugs.,helpful
3439,1437,1,je déconseille vivement cet hotel. et ne comprends pas que Tablet le propose sur son site.,Negative.
3444,1439,1,"During the summer, if you opt for an Executive room, best to make sure the room you get allocated is not (a) in the basement and (b) on the roadside. There is no aircon and the room is noisy. This is made worse because you are forced to open the window to get air flow. ",helpful
3451,1442,1,"Less than a block away from the hotel on Thames is Las Pizarras, a must for an unforgettable meal at an inspired Argentine Bistro.",helpful
3456,1444,1,Find another hotel. ,Negative.
3459,1445,1,Make sure you get one of the remade rooms!,helpful
3462,1446,1,"Rooms on high floors do have nice views - if you're getting a smaller room, try to get the layout with the desk and TV on the same wall; it feels more spacious. If you want to check in early (i.e. after a West Coast red-eye), they'll let you use the gym/spa's shower and changing room - very helpful!",helpful
3465,1447,1,Look elsewhere.,Negative.
3474,1451,1,If you can't snag a table at The Breslin - Resto down the street is awfully good.,helpful
3483,1455,1,When you book a room at the upper levels of the hotel you should ask if somebody having a party in the penthouse. ,helpful
3486,1456,1,"Make to sure to stay in the BUngalows on Playa Rosa, the casitas are rather unpleasant, and don't make the mistake of eating in the hotel next door.",helpful
3489,1457,1,Dont go there.  You will be extremely frustrated and disapppointed.  Should be removed from Tablet recommended hotels.,Negative.
3494,1459,1,Don't bring too much luggage or arrive by taxi as the hotel is located in the centre of a pedestrian zone.,helpful
3497,1460,1,"Book all four cottages and travel with friends - you will not be disappointed. That said - if you're going for a romantic getaway; plum for ""Eileen"" as the only fully-detatched cottage! :)",helpful
3500,1461,1,Enjoy the enormous rooms! ,helpful
3503,1462,0,"Beautiful hotel, excellent location.",helpful
3510,1465,1,Use the concierge,Helpful.
3517,1468,1,"There is excellent dining in the neighborhood: Edwards, Kitchenette, Gigino's. ",helpful
3530,1474,1,Ask for the fashion map at the concierge desk if you want to shop.,helpful
3533,1475,1,"Guests can book the two great restaurants in the hotel, the John Dory and the Breslin. New Yorkers have to stand in line to get a table!",helpful
3544,1480,1,"Location is fantastic if you love SoHo but like being able to duck out of the hustle and bustle of it. You're a walk from everything and jumping in a cab up 6th is a breeze if you need to head uptown. 

Request a room on a higher floor, since the bar/club that spills into the lobby could probably get loud, especially toward the weekend. ",Helpful.
3547,1481,1,Check for air conditioning in the room.,helpful
3550,1482,0,"Even if it sounds like breakfast is included, it is not! Be careful or you'll pay $20 for an egg.",helpful
3555,1484,0,I recommend staying elsewhere.,helpful
3558,1485,1,Way to pricey for what you get. Also out of the way from many sights and a nice beach.,helpful
3561,1486,1,avoid the 3rd floor rooms,helpful
3564,1487,1,Definitely stay there!,helpful
3567,1488,1,Enjoy your stay with no stress.,helpful
3570,1489,1,Perfect if you want visit Berlin. Not ideal place if you want have high level services.,Helpful.
3573,1490,0,"Demander à l'accueil des endroits ""non touristiques"" pour sortir ils sont de bons conseils",helpful
3580,1493,1,"Unlike most restaurants in hotels, this one is well worth the time and expense.  The food, service and view are amazing.",Helpful.
3585,1495,1,"Rooms are unbelievably tight. As they suggest, stay only if you plan on using the room just for the four S's.",Negative.
3588,1496,1,The location is close to the theatre district but a long way from everything else.,helpful
3591,1497,1,"Make sure you book the restaurants, as they are popular and full.",helpful
3594,1498,1,"Junior suite 302 is quite dark, by contrast 402 is fantastic. Make sure you specify that you want rooms that are not located in a shaft where light does not reach. Other than that, enjoy a fabulous stay. ",Helpful.
3597,1499,1,Consider the logistics of what you will be doing.  It is close the the business district and convenient for the airport.  South Beach is about 20 minutes by taxi.,helpful
3600,1500,1,"Book early at the restaurants, as they are fully booked most of the time.",helpful
3603,1501,1,Don't miss eating at Angels and Bagpipes on the Royal Mile,helpful
3606,1502,1,"Great place for a get away with a special someone (not the rooms thought). the view is real nice and the hotel's history is intriguing. If you're romantic and do not mind the 50s and up crowd this may be a good place to be for couple of days. 

Although the location on the mountain is great, you are after all away from any near by activity; even a simple walk. 

Lake La garda on the other hand may not impress you if you like Como or Lugano. it felt more like a sea with no serious mountains around. Hence you may want to drive up north, it get a lot better. At the utmost northern point., a town called Torbelo is much of happening place. 

So either plan for an in house stay for the view or just drive up the lake for more action

",Helpful.
3611,1504,1,if you looking for a small hotel with nice atmosphere stay there...,helpful
3622,1509,1,Don't expect a large room.  Looks more like a college dorm room.  Clean and nice though. ,helpful
3625,1510,1,Go to this hotel.  Get room 61,helpful
3628,1511,1,Just ask the front desk/concierage and they will deliver above expectations!!!,helpful
3635,1514,1,"There is no hotel 'frontage' hence the 'living like a local' vibe.  The restaurant outside of the hotel has the lightest, most delicious greek salad to offer a change from the monotonous pizza and pasta...A taxi stand is located in the piazza if you need transport, as in Italy, they charge the moment they leave to pick you up!",Helpful.
3644,1518,0,Be sure this is the area in which you wish to stay.,helpful
3653,1522,1,Ask for an internal courtyard room because the landscaping is charming and it's quiet.,helpful
3656,1523,1,"éviter absolument la chambre standard
le duplex semble bien, mais à ce prix, préférer un emplacement plus central",helpful
3663,1526,1,stay away & spend your 500 in a better place.,Negative.
3668,1528,1,"Do not bother to try out the roof top bar, it is a cimplete let down",Negative.
3673,1530,1,Ask for a high room for the view! Next door to Joel Robuchon's Atelier restaurant (who prepares the breakfast and the room service for the hotel).,helpful
3676,1531,1,"the room service menu is limited.
the rooms are pretty small, although we had a bigger room they were small.
",Negative.
3681,1533,1,The airport bus stops straight at Plaza Catalunya so it is very convenient to get to the hotel.,helpful
3686,1535,0,Eat in -- the food here is terrific.,helpful
3693,1538,1,Be sure to ask the front office staff for advice on everything - they will make your trip.,helpful
3700,1541,1,Beware! If you get back late at night you are likely to find the main door locked!,helpful
3703,1542,1,A great place to stay - get a room with a canal view - its wonderful!,helpful
3706,1543,1,"If you share your room with anyone other than yourself or a significant other, the showers are less than private. The bathroom has a sliding loft-style door, which is semi see-thru (door doesnt close 100%) and the shower is glassed in and exposed to the room. The glass is frosted, but still leaves little to the imagination. ",helpful
3709,1544,1,"I would absolutely purchase Tablet Plus and book a Metropolitan Room to get upgraded to a Terrace Room -- the private outdoor patio and shower is what takes it from a ""nice"", if boring, room to something special.  I probably wouldn't stay at the hotel in anything except a Terrace Room or Executive Suite.",helpful
3716,1547,1,The bar area is lovely and intimate. A must for a drink and do not miss the galleries around! Beware of August as a lot of the galleries are closing then.,helpful
3719,1548,1,"Great for a romantic weekend, not so much for families or kids.",Helpful.
3724,1550,1,Great hotel for liesure if you don't have to do any work,Negative.
3727,1551,1,"Try Macelleria on Gansevoort...A great, casual Italian steakhouse and always some banana cupcakes from Billy's.",helpful
3730,1552,1,the pool is small but very enjoyable and this is a quiet oasis in cordoba,helpful
3739,1556,1,Room was tiny,helpful
3742,1557,1,Don't miss the Restaurant Rinaldi Quirinale around the corner!,helpful
3745,1558,1,oh my god - place des vosges and le marie - the most beautiful walking about town any where - just soak in it - avoid tou,helpful
3748,1559,1,The standard room is a bit tight - request a city or river-facing room with a balcony to get more of a sense of space. ,helpful
3761,1565,1,Stay longer we only stayed 2 nights wished I had stayed for 5 nights. Mozaic Restaurant is a real treat 6 course degustation menu is amazing. Unfortunately the wine is more expensive than the food but that is Bali.,helpful
3766,1567,0,"Don't travel to Barcelona (for the first time, at least) in August! Many of the best restaurants shut down as their chefs are on holiday. The city is packed solid with tourists, so there are long lines for all the sights. Since both the club and the main restaurant of this hotel were shut while we were there, we can't say for sure what the experience might have been like at another time of the year. 
But if we returned to Barcelona, we'd choose to stay near the beach or around the El Born area. And we would not stay at this hotel again - despite the rooms being nice, it's really not worth the price, dealing with the staff's attitude, the bad food, or the distance from the more interesting parts of the city. ",Helpful.
3769,1568,1,"1 free internet computer under lobby stairs!  Very helpful.
Plan on rooftop pooltime, to soak in the feel of luxury.",Helpful.
3776,1571,1,don't miss breakfast - one of the best ever I've had in my life!!!!,helpful
3779,1572,1,don't expect the world.  location is good and room are only above average for the price they are charging.,helpful
3784,1574,1,"Recomendable, se esta muy bien",Helpful.
3787,1575,1,"Don't hesitate... very pretty, good ""boutique hotels"" in SF",helpful
3790,1576,1,Breakfast Burritto is a must have...,helpful
3793,1577,1,High floors is a must!,helpful
3800,1580,1,Demander une chambre à un étage élevé pour bénéficier d'une vue mer et éventuellement d'un balcon.,helpful
3811,1585,1,"Shower and tub are small, water gets everywhere.  No iron in room but they will provide pressing service at NO cost.  Nikola suggested an opera...it was incredibly entertaining and fun.  Ciao",Helpful.
3814,1586,1,I would recommend visitors stay off the main beach in the town (where prices are better) as you end up going to private beaches anyway,helpful
3817,1587,1,"Ask them, not to give you a room too far from the lobby, otherwise the walk is quite long to the front..",helpful
3832,1594,1,"Pour les familles avec enfant, pensez à demander une suite plutot qu'un lit enfant dans une chambre, il n'y a pas de lit enfant (quoique facturé normalement 30€) mais un ""aménagement de canapé, généralement très petit (ok pour les 3-6 ans)",helpful
3837,1596,1,Definately have dinner at  the villa one night during your stay-  for sure worth the price.,helpful
3840,1597,1,"Bring your own wireless MiFi type device. Otherwise be prepared to pay a premium for wireless service. Also, be prepared to move some furniture around so you can find an outlet to plug your electronics into.",helpful
3849,1601,1,rather pretentious hotel,Negative.
3854,1603,1,Dine at The Hall.,helpful
3861,1606,1,Make sure to ask if you perfer a quiet room!,helpful
3868,1609,1,"The size of the rooms varies greatly. I booked two. The one I stayed in was the least expensive and in the attic. It had the same wonderful bed and touches as the other rooms, but it was so tiny I could barely turn around in the bathroom (and I am very small). My son's room, the next level up, was large with a patio. 
It would be difficult for two people in an attic room, so I would check and pay a bit more. ",Helpful.
3873,1611,1,A little ways out of downtown.,helpful
3884,1616,1,Un weekend tranquille pour se reposer et profiter du Spa... mais un hôtel trop cher pour une étape d'un soir dans un trip en californie !,helpful
3895,1621,1,Reservation for dinner at Mr. Parker's is essential. Walk ins taken but there was a wait.,helpful
3910,1628,1,Probably would stay at other Morgans Hotel properties in Miami before returning to this one.,helpful
3913,1629,1,Don't bring a date.,Negative.
3924,1634,0,Parking charges are for a full day - so you can go in and out as much as you like. ,helpful
3935,1639,1,Bon rapport qualité prix à la limite entre Midtown et Uptown,Helpful.
3940,1641,1,the restaurant is outstanding and has a great wine-list with a specialty on wines from france and Italy.,helpful
3959,1650,1,Great spot for the money,helpful
3962,1651,1,I wasn't actually in the hotel very much and didn't get to take advantage of the restaurants and bars.  But it seemed like a very cool place and I will likely stay there again to enjoy it a little more.,helpful
3971,1655,1,"If you go in August the whole city will be more or less shut down. 
If you go when the weather is hot, you might want to choose a hotel that has a pool. ",Helpful.
3978,1658,1,"If you have children, beware that this hotel is close to the red light district.",helpful
3983,1660,1,"Ask for a room on the garden side.  It is much, much quieter.",helpful
3988,1662,1,"Don't stay here if you want a queen or king-size bed, they only have double beds.",helpful
3993,1664,1,"Prennez une chambre avec patio absolument, et utiliser la 2ème piscine qui reste beaucoup plus calme si vous souhaiter passer un sejour paisible.",Helpful.
3996,1665,1,A pleasant vacation in a modern hotel,helpful
3999,1666,1,Attention la piscine est vraiment minuscule,helpful
4016,1674,1,"correctement situé pour qui veut s'imprégner de la vie nocturne de Palermo (quoique pas directement situé au coeur de Palermo Soho ie piazza Serano et Honduras) mais très éloigné du centre historique et des quartiers chics et ou typiques de San Telmo, Recoleta etc...",helpful
4021,1676,0,Beware of the 'optional' service charge on everything!,helpful
4030,1680,1,"good location, good effort at modern/boutique, good price. there are better places out there.",Negative.
4035,1682,1,"This hotel isn't exactly right at the heart of Paris. For first time visitors, I would suggest something closer but this is a lovely stay and if you don't mind riding the Metro for a few more stops, it's totally worth it.",helpful
4038,1683,1,"Watch out for the ""free cocktail"" passes they give out -- they're actually only good for beer, wine, or well drinks. Order something from the ""cocktail"" menu, and despite the logical inference to the contrary, it will not in fact be free.",Helpful.
4041,1684,1,"The hotel restaurant was not to our taste; the food was good but not excellent, though we paid the same or more than at Gary Danko, etc. As such, I don't recommend indulging in the full tasting menu, but rather having 3 courses in total, which the kitchen allows.",helpful
4046,1686,1,"Try out the Aja restaurant, even if it's only to grab a quick bite off the bar menu.  
Also, if you're interested in going to any of the local bars or clubs, speak to the concierge as they may be able to help out in that area. 
When checking out, I'd recommend checking out downstairs.  We checked out from our room and I needed to make a local call afterwards and there is no house phone in the lobby at all for any calls and the phone in the room gets disconnected once you've checked out.",Helpful.
4049,1687,1,Profiter de chaque instant dans cet endroit hors du temps!,helpful
4058,1691,1," Choose the annex building and ask for the view...if freeway noise does not bother you.
The suites are a nice upgrade and well worth it if you negotiate breakfast and parking included.",helpful
4061,1692,1,breakfast is great ,helpful
4066,1694,1,"Given the room sizes, maybe not the best place to stay with 2 people for an extended visit, or if you have lots of luggage. But for a weekend, or a solo business trip, it's perfect.",helpful
4075,1698,1,"Wear your room key around your neck so you are not constantly asked ""where are you going"" 
""this is only for guests, you can't go in"".",Helpful.
4084,1702,1,Not sure if I would recommend staying in the Medina.  ,helpful
4087,1703,0,Super cool hotel :),helpful
4090,1704,1,Ask for a room away from the large pool.  Ask if your room is in good condition before you move in.,helpful
4095,1706,0,"take your own water
take your own gym",helpful
4102,1709,1,"No es un hotel familiar
Es un hotel de mucha juerga",Negative.
4105,1710,1,"Area around hotel a little sketchy, day and night.",helpful
